,bp_rp,phot_g_mean_mag,distance_gspphot,visibility_periods_used,astrometric_sigma5d_max,astrometric_excess_noise,astrometric_matched_transits
66471,2.4483604,14.608757,97.4347,19,0.03893616,0.03536708,37
66478,2.666916,15.333564,100.5025,22,0.04170085,0.0,49
66479,0.95890903,10.300168,90.8289,23,0.019033775,0.05283713,48
66482,0.6550355,6.3841476,42.1572,20,0.12733813,0.6764877,44
66487,0.689178,8.393925,93.127,22,0.025180014,0.091781005,47
66495,0.59916973,7.058096,82.0292,16,0.047067516,0.13011675,50
66496,1.8771172,12.710356,93.5757,18,0.030669054,0.080624625,37
66499,0.9624634,10.213369,89.2255,19,0.07066825,0.31110728,37
66500,2.2955284,13.8051605,96.4517,18,0.025474265,0.018640297,59
66508,0.8962803,9.812342,94.816,16,0.040530786,0.09088429,31
66509,3.4746265,13.604942,14.0735,20,0.03367801,0.16452408,68
66510,1.1391087,11.356861,96.6544,21,0.028778458,0.16287667,56
66513,0.6133714,8.356469,88.1178,22,0.023626212,0.106260225,50
66519,2.4003878,14.05151,86.8193,26,0.020300187,0.034756634,83
66522,2.1884556,13.967615,93.0108,25,0.016460586,0.021378819,71
66531,0.7224302,8.26103,59.8835,24,0.018665249,0.12145915,83
66532,1.5712452,11.722148,87.8036,25,0.021928862,0.12193268,53
66536,1.2295837,10.948237,85.9146,21,0.024497325,0.113188855,49
66537,1.4053831,9.155232,25.4257,23,0.023254307,0.07157012,47
66544,0.75234985,8.937839,96.0438,28,0.03331762,0.17987481,62
66553,0.5167651,6.291094,49.6611,29,0.030023688,0.17328313,59
66554,2.076127,15.299573,76.3309,29,0.0354923,0.0,60
66557,1.0257607,8.923274,65.5785,31,0.048503928,0.31916487,60
66558,2.6847334,15.391814,92.7044,29,0.03969603,0.0,57
66560,2.0128222,13.274304,94.3723,30,0.016256966,0.0,60
66566,0.90890837,8.1782875,42.6151,32,0.024337802,0.1189859,58
66568,2.5327072,14.709719,91.7144,31,0.032891694,0.059170105,55
66571,1.079689,10.912414,95.7388,30,0.018859688,0.09468232,53
66574,2.9610205,17.263391,104.8207,30,0.10801386,0.10156725,53
66577,0.76843596,8.106727,82.213,30,0.025597256,0.12093348,53
66578,2.9182453,13.533158,27.0008,30,0.02190593,0.098529235,56
66580,1.2283487,9.448894,42.3588,30,0.015541216,0.070111394,52
66581,0.34922504,6.3839006,68.7829,26,0.37437224,3.1807544,61
66588,2.2093334,13.592726,87.1037,31,0.020361567,0.057312477,61
66596,2.8095875,15.455499,100.1183,30,0.037742827,0.14872172,68
66598,2.4747095,14.287692,90.0485,29,0.024148844,0.07527751,64
66600,2.465458,14.424688,95.2479,29,0.02457112,0.07354375,61
66604,0.73959446,8.340468,61.7564,28,0.022676865,0.09946181,62
66605,2.1355848,13.440151,86.0973,29,0.017728975,0.0,53
66609,2.4193668,14.947333,96.5549,30,0.030921482,0.07385732,58
66612,2.6837234,15.287828,95.8267,28,0.03856411,0.059519578,49
66614,1.8130884,12.893651,92.9116,27,0.024636906,0.12430194,53
66619,0.85487366,8.187776,55.8951,29,0.022622937,0.11324784,55
66622,3.020113,14.150841,27.5196,30,0.02715239,0.12327433,57
66624,0.76032066,8.558847,82.003,30,0.03629862,0.2549802,53
